"dname","attrib","img","behavior","target_team","manacost","description","cooldown","dmg_type","target_type","dispellable","bkbpierce","lore","damage"
"+-15% Shrapnel Movement Slow","","","","","","","","","","","","",""
"+-30% Frost Breath Slow","","","","","","","","","","","","",""
"+-65 Untouchable Attack Slow","","","","","","","","","","","","",""
"+.5s Thunder Strike Slow Duration","","","","","","","","","","","","",""
"+0% Hunter In The Night Movement Speed","","","","","","","","","","","","",""
"+0.15 Sanity's Eclipse Mana Difference Multiplier","","","","","","","","","","","","",""
"+0.2 Mana Void Damage Multiplier","","","","","","","","","","","","",""
"+0.2 Reactive Armor Regeneration Per Stack","","","","","","","","","","","","",""
"+0.2% Overcharge Max HP Regen Bonus","","","","","","","","","","","","",""
"+0.25s Eclipse Lucent Ministun","","","","","","","","","","","","",""
"+0.25s Requiem Fear per line","","","","","","","","","","","","",""
"+0.2s Heat-Seeking Missile Ministun","","","","","","","","","","","","",""
"+0.2s Impale Stun Duration","","","","","","","","","","","","",""
"+0.2s Mischief Invulnerability Duration","","","","","","","","","","","","",""
"+0.2s Slithereen Crush Stun Duration","","","","","","","","","","","","",""
"+0.3 Backstab Multiplier","","","","","","","","","","","","",""
"+0.3s Boundless Strike Stun Duration","","","","","","","","","","","","",""
"+0.3s Electric Vortex Duration","","","","","","","","","","","","",""
"+0.3s Homing Missile Stun Duration","","","","","","","","","","","","",""
"+0.3s Lucent Beam Ministun","","","","","","","","","","","","",""
"+0.45s Spiked Carapace Stun Duration","","","","","","","","","","","","",""
"+0.4s Burrowstrike Stun","","","","","","","","","","","","",""
"+0.4s Dragon Tail Stun","","","","","","","","","","","","",""
"+0.4s Ice Path Duration","","","","","","","","","","","","",""
"+0.4s Sinister Gaze Duration","","","","","","","","","","","","",""
"+0.4s Supernova Stun Duration","","","","","","","","","","","","",""
"+0.4s Telekinesis Lift/Stun Duration","","","","","","","","","","","","",""
"+0.5 Arcane Aura Base Mana Regeneration","","","","","","","","","","","","",""
"+0.5 Bad Juju Armor Reduction/Increase","","","","","","","","","","","","",""
"+0.5 Swarm Armor Reduction","","","","","","","","","","","","",""
"+0.5% Heartstopper Aura Damage","","","","","","","","","","","","",""
"+0.5s Cursed Crown Stun Duration","","","","","","","","","","","","",""
"+0.5s Fortune's End Duration","","","","","","","","","","","","",""
"+0.5s Lightning Bolt Ministun","","","","","","","","","","","","",""
"+0.5s Phantom Strike Duration","","","","","","","","","","","","",""
"+0.5s Pounce Leash","","","","","","","","","","","","",""
"+0.5s Rolling Boulder Stun Duration","","","","","","","","","","","","",""
"+0.5s Shockwave Slow Duration","","","","","","","","","","","","",""
"+0.5s Spiked Carapace Reflect Duration","","","","","","","","","","","","",""
"+0.5s Time Walk Backtrack Duration","","","","","","","","","","","","",""
"+0.5s Walrus Punch Stun Duration","","","","","","","","","","","","",""
"+0.6 Min/Max Chaos Bolt Duration","","","","","","","","","","","","",""
"+0.65s Pit of Malice Root","","","","","","","","","","","","",""
"+0.65s Shuriken Toss Slow","","","","","","","","","","","","",""
"+0.6s Spear of Mars Stun","","","","","","","","","","","","",""
"+0.75s Dismember Duration","","","","","","","","","","","","",""
"+0.75s Inner Fire Duration","","","","","","","","","","","","",""
"+0.75s Rebound Stun Duration","","","","","","","","","","","","",""
"+0.75s Shackleshot Duration","","","","","","","","","","","","",""
"+0.75x Mind Flare Intelligence Multiplier","","","","","","","","","","","","",""
"+0.8% Firestorm Burn Damage","","","","","","","","","","","","",""
"+0.8s Adaptive Strike Stun Duration","","","","","","","","","","","","",""
"+0.8s Dream Coil Stun Duration","","","","","","","","","","","","",""
"+0.8s Hoof Stomp Duration","","","","","","","","","","","","",""
"+0.8s Ravage Stun Duration","","","","","","","","","","","","",""
"+0.8s Reverse Polarity Stun Duration","","","","","","","","","","","","",""
"+0.8x Last Word Int Multiplier","","","","","","","","","","","","",""
"+0s God's Rebuke Slow","","","","","","","","","","","","",""
"+1 Acid Spray Armor Reduction","","","","","","","","","","","","",""
