"id","dname","hint","img","qual","cost","notes","attrib","manacost","cooldown","lore","components","created","charges"
1,"Blink Dagger","Active: Blink Teleport to a target point up to 1200 units away. 

Blink Dagger cannot be used for 3 seconds after taking damage from an enemy hero or Roshan.","/apps/dota2/images/dota_react/items/blink.png?t=1593393829403","component",2250,"Self-casting will cause you to teleport in the direction of your team's fountain.
If you used Blink to teleport to a distance over the maximum range, you'll be teleported 4/5 of the maximum range instead.","[{'key': 'blink_range', 'header': 'BLINK RANGE:', 'value': '1200'}, {'key': 'blink_damage_cooldown', 'header': 'BLINK DAMAGE COOLDOWN:', 'value': '3.0'}, {'key': 'blink_range_clamp', 'header': 'BLINK RANGE CLAMP:', 'value': '960'}]",0,15,"The fabled dagger used by the fastest assassin ever to walk the lands.","None",False,False
7,"Javelin","Passive: Pierce Grants each attack a 30% chance to pierce through evasion and deal 60 bonus magical damage.","/apps/dota2/images/dota_react/items/javelin.png?t=1593393829403","component",900,"","[{'key': 'bonus_chance', 'header': 'BONUS CHANCE:', 'value': '30'}, {'key': 'bonus_chance_damage', 'header': 'BONUS CHANCE DAMAGE:', 'value': '60'}]",0,0,"A rather typical spear that can sometimes pierce through an enemy's armor when used to attack.","None",False,False
11,"Quelling Blade","Active: Chop Tree Destroy a target tree. 

Cast Range: 350","/apps/dota2/images/dota_react/items/quelling_blade.png?t=1593393829403","component",100,"Effects of multiple quelling blades do not stack.","[{'key': 'damage_bonus', 'header': 'DAMAGE BONUS:', 'value': '8'}, {'key': 'damage_bonus_ranged', 'header': 'DAMAGE BONUS RANGED:', 'value': '4'}, {'key': 'quelling_range_tooltip', 'header': 'QUELLING RANGE TOOLTIP:', 'value': '350'}]",0,4,"The axe of a fallen gnome, it allows you to effectively maneuver the forest.","None",False,False
11,"Quelling Blade","Passive: Quell  Increases attack damage against non-hero units by 8 for melee heroes, and 4 for ranged.","/apps/dota2/images/dota_react/items/quelling_blade.png?t=1593393829403","component",100,"Effects of multiple quelling blades do not stack.","[{'key': 'damage_bonus', 'header': 'DAMAGE BONUS:', 'value': '8'}, {'key': 'damage_bonus_ranged', 'header': 'DAMAGE BONUS RANGED:', 'value': '4'}, {'key': 'quelling_range_tooltip', 'header': 'QUELLING RANGE TOOLTIP:', 'value': '350'}]",0,4,"The axe of a fallen gnome, it allows you to effectively maneuver the forest.","None",False,False
16,"Iron Branch","Use: Plant Tree Targets the ground to plant a happy little tree that lasts for 20 seconds.

Range: 400","/apps/dota2/images/dota_react/items/branches.png?t=1593393829403","consumable",50,"","[{'key': 'bonus_all_stats', 'header': 'BONUS ALL STATS:', 'value': '1'}, {'key': 'tree_duration', 'header': 'TREE DURATION:', 'value': '20'}]",0,0,"A seemingly ordinary branch, its ironlike qualities are bestowed upon the bearer.","None",False,False
26,"Morbid Mask","Passive: Lifesteal Heals the attacker for a percentage of attack damage dealt. Lifesteal from creeps is reduced by 40%.","/apps/dota2/images/dota_react/items/lifesteal.png?t=1593393829403","component",900,"","[{'key': 'lifesteal_percent', 'header': 'LIFESTEAL PERCENT:', 'value': '18'}, {'key': 'creep_lifesteal_reduction_pct', 'header': 'CREEP LIFESTEAL REDUCTION PCT:', 'value': '40'}]",0,0,"A mask that drains the energy of those caught in its gaze.","None",False,False
29,"Boots of Speed","Movement speed bonuses from multiple pairs of boots do not stack.","/apps/dota2/images/dota_react/items/boots.png?t=1593393829403","component",500,"","[{'key': 'bonus_movement_speed', 'header': 'BONUS MOVEMENT SPEED:', 'value': '45'}]",0,0,"Fleet footwear, increasing movement.","None",False,False
30,"Gem of True Sight","Passive: Everlasting Dropped on death, and cannot be destroyed. ","/apps/dota2/images/dota_react/items/gem.png?t=1593393829403","component",900,"Disabled while on a courier.","[{'key': 'radius', 'header': 'RADIUS:', 'value': '900'}, {'key': 'active_radius', 'header': 'ACTIVE RADIUS:', 'value': '300'}, {'key': 'duration', 'header': 'DURATION:', 'value': '4'}]",0,12,"Not one thrall creature of the depths,
Nor spirit bound in drowning's keep,
Nor Maelrawn the Tentacular,
Shall rest till seas, gem comes to sleep.","None",False,False
30,"Gem of True Sight","Passive: True Sight  Grants the ability to see invisible units and wards to any allied vision within 900 range of its carrier. ","/apps/dota2/images/dota_react/items/gem.png?t=1593393829403","component",900,"Disabled while on a courier.","[{'key': 'radius', 'header': 'RADIUS:', 'value': '900'}, {'key': 'active_radius', 'header': 'ACTIVE RADIUS:', 'value': '300'}, {'key': 'duration', 'header': 'DURATION:', 'value': '4'}]",0,12,"Not one thrall creature of the depths,
Nor spirit bound in drowning's keep,
Nor Maelrawn the Tentacular,
Shall rest till seas, gem comes to sleep.","None",False,False
30,"Gem of True Sight","Active: Reveal Gives True Sight over a 300 radius revealing wards and units even in Fog of War.","/apps/dota2/images/dota_react/items/gem.png?t=1593393829403","component",900,"Disabled while on a courier.","[{'key': 'radius', 'header': 'RADIUS:', 'value': '900'}, {'key': 'active_radius', 'header': 'ACTIVE RADIUS:', 'value': '300'}, {'key': 'duration', 'header': 'DURATION:', 'value': '4'}]",0,12,"Not one thrall creature of the depths,
Nor spirit bound in drowning's keep,
Nor Maelrawn the Tentacular,
Shall rest till seas, gem comes to sleep.","None",False,False
33,"Cheese","Use: Fondue Instantly restores 2500 health and 1500 mana.","/apps/dota2/images/dota_react/items/cheese.png?t=1593393829403","consumable",1000,"Cheese is shareable.","[{'key': 'health_restore', 'header': 'HEALTH RESTORE:', 'value': '2500'}, {'key': 'mana_restore', 'header': 'MANA RESTORE:', 'value': '1500'}]",0,40,"Made from the milk of a long lost Furbolg vendor, it restores the vitality of those who taste it.","None",False,1
34,"Magic Stick","Active: Energy Charge Instantly restores 15 health and mana per charge stored.

 Max 10 charges. Gains a charge whenever a visible enemy within 1200 range uses an ability.","/apps/dota2/images/dota_react/items/magic_stick.png?t=1593393829403","component",200,"Gains charges for spells cast by visible enemies in 1200 range.
Certain abilities and item abilities will not add charges.","[{'key': 'max_charges', 'header': 'MAX CHARGES:', 'value': '10'}, {'key': 'charge_radius', 'header': 'CHARGE RADIUS:', 'value': '1200'}, {'key': 'restore_per_charge', 'header': 'RESTORE PER CHARGE:', 'value': '15'}]",0,13,"A simple wand used to channel magic energies, it is favored by apprentice wizards and great warlocks alike.","None",False,False
36,"Magic Wand","Active: Energy Charge Instantly restores 15 health and mana per charge stored. 

Max 20 charges. Gains a charge whenever a visible enemy within 1200 range uses an ability.","/apps/dota2/images/dota_react/items/magic_wand.png?t=1593393829403","common",450,"Gains charges for spells cast by visible enemies in 1200 range.
Certain abilities and item abilities will not add charges.","[{'key': 'max_charges', 'header': 'MAX CHARGES:', 'value': '20'}, {'key': 'charge_radius', 'header': 'CHARGE RADIUS:', 'value': '1200'}, {'key': 'bonus_all_stats', 'header': 'BONUS ALL STATS:', 'value': '3'}, {'key': 'restore_per_charge', 'header': 'RESTORE PER CHARGE:', 'value': '15'}]",0,13,"A simple wand used to channel magic energies, it is favored by apprentice wizards and great warlocks alike.","['magic_stick', 'branches', 'branches']",True,False
37,"Ghost Scepter","Active: Ghost Form You enter ghost form for 4 seconds, becoming immune to physical damage, but are unable to attack and -40% more vulnerable to magic damage.","/apps/dota2/images/dota_react/items/ghost.png?t=1593393829403","component",1500,"Ends if you become Spell Immune, and will have no effect if you are already Spell Immune.
Shares cooldown with Ethereal Blade.","[{'key': 'bonus_all_stats', 'header': 'BONUS ALL STATS:', 'value': '5'}, {'key': 'duration', 'header': 'DURATION:', 'value': '4.0'}, {'key': 'extra_spell_damage_percent', 'header': 'EXTRA SPELL DAMAGE PERCENT:', 'value': '-40'}]",0,22,"Imbues the wielder with a ghostly presence, allowing them to evade physical damage.","None",False,False
38,"Clarity","Use: Replenish Grants 6 mana regeneration to the target for 25 seconds.

If the unit is attacked by an enemy hero or Roshan, the effect is lost.

Range: 250","/apps/dota2/images/dota_react/items/clarity.png?t=1593393829403","consumable",50,"","[{'key': 'mana_regen', 'header': 'MANA REGEN:', 'value': '6'}, {'key': 'buff_duration', 'header': 'BUFF DURATION:', 'value': '25'}]",0,0,"Clear water that enhances the ability to meditate.","None",False,1
39,"Healing Salve","Use: Salve Grants 30 health regeneration to the target for 13 seconds.

If the unit is attacked by an enemy hero or Roshan, the effect is lost.

Heals for half the amount when cast on an ally.

Range: 250","/apps/dota2/images/dota_react/items/flask.png?t=1593393829403","consumable",100,"","[{'key': 'buff_duration', 'header': 'BUFF DURATION:', 'value': '13'}, {'key': 'health_regen', 'header': 'HEALTH REGEN:', 'value': '30'}, {'key': 'break_on_hero_damage', 'header': 'BREAK ON HERO DAMAGE:', 'value': '1'}]",0,0,"A magical salve that can quickly mend even the deepest of wounds.","None",False,1
40,"Dust of Appearance","Use: Reveal For 12 seconds, creates an area that reveals and slows invisible heroes by -20% in a 1050 radius where the caster was standing. Invisible units revealed by dust take 25 damage.

 The debuff effect on enemies lingers for 8s after leaving the area of effect.","/apps/dota2/images/dota_react/items/dust.png?t=1593393829403","consumable",80,"Places a debuff on enemy units in the area that reveals them when they are invisible.","[{'key': 'duration', 'header': 'DURATION:', 'value': '12'}, {'key': 'radius', 'header': 'RADIUS:', 'value': '1050'}, {'key': 'movespeed', 'header': 'MOVESPEED:', 'value': '-20'}, {'key': 'damage', 'header': 'DAMAGE:', 'value': '25'}, {'key': 'linger_duration', 'header': 'LINGER DURATION:', 'value': '8'}]",0,30,"One may hide visage, but never volume.","None",False,1
41,"Bottle","Active: Regenerate Consumes a charge to restore 110 health and 60 mana over 2.7 seconds. If the hero is attacked by an enemy hero or Roshan, the effect is lost.

The Bottle automatically refills at the fountain.

Hold Control to use on an allied hero.

Range: 350","/apps/dota2/images/dota_react/items/bottle.png?t=1593393829403","common",675,"Bottle is shareable. Stored runes cannot be shared.
Using a stored Bounty or Water rune fully refills the bottle if the bottle was full when the rune was stored; otherwise, it refills two charges.","[{'key': 'health_restore', 'header': 'HEALTH RESTORE:', 'value': '110'}, {'key': 'mana_restore', 'header': 'MANA RESTORE:', 'value': '60'}, {'key': 'health_restore_pct', 'header': 'HEALTH RESTORE PCT:', 'value': '0'}, {'key': 'mana_restore_pct', 'header': 'MANA RESTORE PCT:', 'value': '0'}, {'key': 'restore_time', 'header': 'RESTORE TIME:', 'value': '2.7'}, {'key': 'max_charges', 'header': 'MAX CHARGES:', 'value': '3'}, {'key': 'break_on_hero_damage', 'header': 'BREAK ON HERO DAMAGE:', 'value': '1'}, {'key': 'rune_expire_time', 'header': 'RUNE EXPIRE TIME:', 'value': '90.0'}]",0,0,"An old bottle that survived the ages, the contents placed inside become enchanted.","None",False,3
